id,y_true,y_pred,absolute_error
1738245940.962234,152.0,112.11066290507223,39.88933709492777
1738245951.012711,151.0,206.11637746200643,55.116377462006426
1738245961.033085,48.0,192.59955487492226,144.59955487492226
1738245971.053198,64.0,116.58158338760444,52.58158338760444
1738245981.07419,190.0,142.60327729012226,47.396722709877736
1738245991.083568,104.0,101.05531243166942,2.944687568330579
1738246001.10578,103.0,141.6961149420415,38.696114942041504
1738246011.125607,45.0,34.891630978604084,10.108369021395916
1738246021.147427,206.0,162.37809618375738,43.62190381624262
1738246031.165495,162.0,125.04342485444745,36.95657514555255
1738246041.192494,148.0,132.175618882606,15.824381117394012
1738246051.21174,346.0,268.4529317304527,77.54706826954731
1738246061.232286,310.0,258.030719810275,51.969280189725
1738246071.249928,190.0,173.25293019933895,16.747069800661052
1738246081.260272,52.0,63.272209632486906,11.272209632486906
1738246091.281506,59.0,121.85910435040009,62.85910435040009
1738246101.302282,52.0,63.272209632486906,11.272209632486906
1738246111.321635,93.0,87.12142621227443,5.878573787725571
1738246121.348053,206.0,162.37809618375738,43.62190381624262
1738246131.357122,167.0,184.0685612435638,17.068561243563806
1738246141.378791,135.0,128.46271126779868,6.5372887322013185
1738246151.397429,72.0,98.75749764337766,26.75749764337766
1738246161.407915,156.0,159.93706843463852,3.937068434638519
